stt,match_ids,by,item_type,foody_item,catid,is_category_failed,name
58,11035568,relevancy,1,,100011,False,Áo khoác nam nữ áo gió vải dù cao cấp 2 lớp nón rộng chống nắng tia UV và chống nước khoát phong cách Hàn Quốc - Liyor
59,11035568,relevancy,1,,100011,False,Áo khoác thể thao nam nữ cao cấp chất thun dày dặn
60,11035568,relevancy,1,,100011,False,"Áo Chống Nắng 2Mặt Thun Lạnh Lỗ Kim Mặc nam và nữ,Q5SHOP, 2 Lớp,2 Màu Chống tia UVF100+ , Chất vải mềm mịn mặc Cực Thíc"
61,11035568,relevancy,1,,100011,False,"Áo Chống Nắng Nam Cao Cấp,Chất Liệu Kim Cương Dày Dặn - Chống Tia UV Gây Hại Cho Da - CN01 - Kèm Túi Pock"
62,11035568,relevancy,1,,100011,False,Áo khoác jacket dù WINDBREAKER MAICUS basic nam nữ unisex form rộng oversize Local
63,11035568,relevancy,1,,100011,False,"[Giá tri ân] Áo chống nắng nam cao cấp chống nắng.chống tia uv, chống bám bụi - Hàng chất lượng cao"
64,11035568,relevancy,1,,100011,False,Áo Quạt điều hòa Nhật Bản Dstore  Top 1 bán chạy - Bảo hành 12 tháng
65,11035568,relevancy,1,,100011,False,"Áo chống nắng nam kim cương NPV, áo khoác nắng nam chất vải thông hơi có mũ trùm"
66,11035568,relevancy,1,,100011,False,"Áo chống nắng nam MOKI chất vải thông hơi có mũ trùm, áo khoác nắng nam dài trùm tay có mũ"
67,11035568,relevancy,1,,100011,False,"Áo Chống Nắng Nam, Áo Nắng Nam Chống Tia UV, Chất Vải Kim Cương Thông Hơi Siêu Mát, Có Túi Pocket tiện lợi"
68,11035568,relevancy,1,,100011,False,"Áo chống nắng nam thoáng mát,áo nắng LV  Nam Nữ vải đẹp 4 mùa đều mặc được"
69,11035568,relevancy,1,,100011,False,"Áo chống nắng nam cao cấp họa tiết in chìm 3D, Big size 95kg vải thun lạnh Aircool thông hơi Avanco AV23"
70,11035568,relevancy,1,,100011,False,[Mã 154FASHIONSALE giảm 12% đơn 99K] Áo khoác dù TMS LOGO JACKET
71,11035568,relevancy,1,,100011,False,Áo JACKET khóa lửng form rộng Áo khoác kaki nam nữ phong cách hàn quốc 2 màu đen trắng
72,11035568,relevancy,1,,100011,False,ÁO GIÓ NAM 2 LỚP - ÁO KHOÁC GIÓ SIÊU NHẸ CHỐNG NẮNG CHỐNG NƯỚC
73,11035568,relevancy,1,,100011,False,"Áo khoác unisex lót lông cừu ⚡ 𝐇𝐚̀𝐧𝐠 𝐂𝐚𝐨 𝐂𝐚̂́𝐩 ⚡  Nam nữ đều mặc, áo dày dặn siêu ấm chất siêu đẹp"
74,11035568,relevancy,1,,100011,False,"[Mã 154FASHIONSALE giảm 12% đơn 99K] Áo chống nắng nam nữ, Chất Vải kim cương sần Siêu Mát, logo thêu ép vân nổi"
75,11035568,relevancy,1,,100011,False,ÁO KHOÁT CHỐNG NẮNG NAM 3IN1 CAO CẤP HÀNG VNXK chất vải dày dặn thoáng khí dễ chịu khi đi nắng
76,11035568,relevancy,1,,100011,False,Áo chống nắng nam cao cấp viền phản quang uni có túi cuộn chống nắng cản tia UV tuyệt đối TF4.0
77,11035568,relevancy,1,,100011,False,Áo chống nắng nam CARDINA 2 lớp chất thun lạnh cao cấp viền thể thao chống tia UV thiết kế lưới tản nhiệt 2NM02.
78,11035568,relevancy,1,,100011,False,Áo phao nam YODY siêu nhẹ giữ ấm tốt mũ có thể tháo rời - PHM4001
