,catid,parent_catid,name,display_name,level
132,11036373,11036345,Insect Repellents,Chống muỗi & xua đuổi côn trùng,2
133,11036346,11036345,Food Supplement,Thực phẩm chức năng,2
134,11036370,11036345,Adult Diapers & Incontinence,Tã người lớn,2
135,11036348,11036345,Beauty Supplements,Hỗ trợ làm đẹp,2
136,11036375,11036345,Sexual Wellness,Hỗ trợ tình dục,2
137,11036372,11036345,Massage & Therapy Devices,Dụng cụ massage và trị liệu,2
138,11036381,11036345,Others,Khác,2
139,11035788,0,Watches,Đồng Hồ,1
140,11035789,11035788,Men Watches,Đồng Hồ Nam,2
141,11035790,11035788,Women Watches,Đồng Hồ Nữ,2
142,11035791,11035788,Set & Couple Watches,Bộ Đồng Hồ & Đồng Hồ Cặp,2
143,11035792,11035788,Kid Watches,Đồng Hồ Trẻ Em,2
144,11035793,11035788,Watches Accessories,Phụ Kiện Đồng Hồ,2
145,11035800,11035788,Others,Khác,2
146,11035825,0,Women Shoes,Giày Dép Nữ,1
147,11035826,11035825,Boots,Bốt,2
148,11035830,11035825,Sneakers,Giày Thể Thao/ Sneaker,2
149,11035831,11035825,Flats,Giày Đế Bằng,2
150,11035837,11035825,Heels,Giày Cao Gót,2
151,11035838,11035825,Wedges,Giày Đế Xuồng,2
152,11035839,11035825,Flat Sandals & Flip Flops,Xăng-đan Và Dép,2
153,11035845,11035825,Shoe Care & Accessories,Phụ Kiện Giày,2
154,11035852,11035825,Others,Giày Khác,2
155,11035801,0,Men Shoes,Giày Dép Nam,1
156,11035802,11035801,Boots,Bốt,2
157,11035807,11035801,Sneakers,Giày Thể Thao/ Sneakers,2
158,11035808,11035801,Slip Ons & Mules,Giày Sục,2
159,11035809,11035801,Loafers & Boat Shoes,Giày Tây Lười,2
160,11035810,11035801,Oxfords & Lace-Ups,Giày Oxfords & Giày Buộc Dây,2
161,11035811,11035801,Sandals & Flip Flops,Xăng-đan và Dép,2
162,11035817,11035801,Shoe Care & Accessories,Phụ kiện giày dép,2
163,11035824,11035801,Others,Khác,2
164,11035761,0,Women Bags,Túi Ví Nữ,1
165,11035762,11035761,Backpacks,Ba Lô Nữ,2
166,11035763,11035761,Laptop Bags,Cặp Laptop,2
167,11035768,11035761,Clutches & Wristlets,Ví Dự Tiệc & Ví Cầm Tay,2
168,11035769,11035761,Waist Bags & Chest Bags,Túi Đeo Hông & Túi Đeo Ngực,2
169,11035770,11035761,Tote Bags,Túi Tote,2
170,11035771,11035761,Top-handle Bags,Túi Quai Xách,2
171,11035772,11035761,Crossbody & Shoulder Bags,Túi Đeo Chéo & Túi Đeo Vai,2
172,11035773,11035761,Wallets,Ví/Bóp Nữ,2
173,11035780,11035761,Bag Accessories,Phụ Kiện Túi,2
174,11035787,11035761,Others,Khác,2
175,11036971,0,Home Appliances,Thiết Bị Điện Gia Dụng,1
176,11036972,11036971,Kitchen Appliances,Đồ gia dụng nhà bếp,2
177,11036990,11036971,Large Appliance,Đồ gia dụng lớn,2
178,11037000,11036971,Vacuums & Floor care,Máy hút bụi & Thiết bị làm sạch,2
179,11037007,11036971,Air Conditioners & Fans,Quạt & Máy nóng lạnh,2
180,11037016,11036971,Garment Care,Thiết bị chăm sóc quần áo,2
181,11037023,11036971,Others,Khác,2
182,11111623,11036971,"Blenders, Mixers & Grinders","Máy xay, ép, máy đánh trứng trộn bột, máy  xay thực phẩm",2
